sentiment,date,text,score
|neutral|,5/19/17, RT @Sandro_power: $AAPL $BABA will hold these stocks with those june 16 options as these stocks favour higher prices,0
,,,
|positive|,5/19/17, RT @mytradingbuddy: #Stocks #Traders LEARN The 6 Individual Components of the #Ihcimoku Cloud using $AAPL Chart &gt;&gt; #Trading Help &gt;&gt;&gt; https:â€_,2
,,,
|neutral|,5/19/17, Appleâ€™s $AAPL Nokia Suit More Pressing Than Qualcomm $QCOM (subscribtion) https://t.co/mTsocP0zei,0
,,,
|positive|,5/19/17, #validate #organic #strategies at https://t.co/SOm8rjvuBZ stay #focused on #success $aapl $mck $googl $hpq $hpe #FridayBlogs #NYC,5
,,,
|neutral|,5/19/17, RT @kirillklip: InvestorIntel: International #Lithium Has A Giantâ€™s Attention. https://t.co/IutVoZ9aIv $ILC.v $TSLA $GM $F $AAPL #Tesla #Baâ€_,0
,,,
|negative|,5/19/17, RT @SP_Trades: Use Stop-Loss Orders to protect profits and minimize losses - Here's How: https://t.co/78T1ddbak9 #stocks #trading #wallstreâ€_,-3
,,,
|neutral|,5/19/17, $AAPL Cash Floods Into Tech Funds At the Fastest Clip in 15 Years https://t.co/YRguBC3G4N,0
,,,
|positive|,5/19/17, #Stocks #Traders LEARN The 6 Individual Components of the #Ihcimoku Cloud using $AAPL Chart &gt;&gt; #Trading Help &gt;&gt;&gt;â€_ https://t.co/oJIEnrKsW6,2
,,,
|negative|,5/19/17," RT @EatSleepNTrade: May 17, 2017 will go down as a day in history that Wall Street $SPY $DIA traded liberal propaganda fake news. $FB $AMZNâ€_",-5
,,,
|positive|,5/19/17, @theKL276 thank for RT! #HappyFriday! See Vista Partners #marketnews #technology #investing https://t.co/1x6MLaGp0dâ€_ https://t.co/oADJjDu1zT,2
,,,
|neutral|,5/19/17," $SPY Potent Point and Figure Chart Patterns for Max Profits, w/ Captain John &amp; Kimberly https://t.co/wOKu6wKvpR $QQQ #stocks $AAPL $FB $TSLA",0
,,,
|negative|,5/19/17, Use Stop-Loss Orders to protect profits and minimize losses - Here's How: https://t.co/78T1ddbak9 #stocks #tradingâ€_ https://t.co/ZxdCtK3JeZ,-3
,,,
|neutral|,5/19/17," @SJosephBurns Because we know that it's never going to compete in video streaming or retail. Also, how is $AAPL iTuâ€_ https://t.co/O0t2r1V8gA",0
,,,
|positive|,5/19/17, Will $cop $intc $ete $cat $pru $pfe $dis $hum $epd be the next big #globalbrand ? https://t.co/Yycairc0fy $aapl #CES2018 #AI,1
,,,
|positive|,5/19/17, RT @AmyDaniel212: Will $cop $intc $ete $cat $pru $pfe $dis $hum $epd be the next big #globalbrand ? https://t.co/vT9HmoiNbp $aapl #CES2018â€_,1
,,,
|negative|,5/19/17," RT @racernic: Tim Cook innovation: ""Apple is tapping the debt market again,""   $AAPL compare it with bezos and $AMZN headlines",-1
,,,
|positive|,5/19/17, Will $cop $intc $ete $cat $pru $pfe $dis $hum $epd be the next big #globalbrand ? https://t.co/vT9HmoiNbp $aapl #CES2018 #AI,1
,,,
|neutral|,5/19/17, RT @racernic: $aapl took it on the chin (intraday comment and vs. the high).,0
,,,
|neutral|,5/19/17, RT @JorelLaraKalel: 10 Things We Learned From Our Daily $FB Show With Jim Cramer https://t.co/xbVkthhGyd $IBM $CRM $HD $WMT  $ROST $FL $CSCâ€_,0
,,,
|positive|,5/19/17, Will $cop $intc $ete $cat $pru $pfe $dis $hum $epd be the next big #globalbrand ? https://t.co/SOm8rjvuBZ $aapl #CES2018 #AI,1
,,,
|negative|,5/19/17, $AAPL $fb Comey to testify next week. Hard time ahead for the market.,-1
,,,
|neutral|,5/19/17, Apple iPhone 4 (MD439LL/A) - 8GB Smartphone - Black - Verizon (Certified Refurbished) https://t.co/5qudwSU2Vd $AAPL #apple #iphone,0
,,,
|neutral|,5/19/17, 10 Things We Learned From Our Daily $FB Show With Jim Cramer https://t.co/xbVkthhGyd $IBM $CRM $HD $WMT  $ROST $FL $CSCO $NVDA $AAPL $BABA,0
,,,
|neutral|,5/19/17, RT @racernic: $aapl took it on the chin (intraday comment and vs. the high).,0
,,,
|negative|,5/19/17, RT @MacHashNews: iOS 11 Concept Imagines Overhauled iPad Interface With Drag-and-Drop Functionality https://t.co/MTWh5QSwX2 #MacRumors $AAPâ€_,-2
,,,
|neutral|,5/19/17, RT @CharlesNance415: #ThankYou for following us. #yourethebest. #AforEffort https://t.co/YycaiqUoQY $aapl $mck $googl $hpq $hpe $usat #CES2â€_,0
,,,
|negative|,5/19/17, iOS 11 Concept Imagines Overhauled iPad Interface With Drag-and-Drop Functionality https://t.co/MTWh5QSwX2â€_ https://t.co/5SQwmT8elF,-2
,,,
|neutral|,5/19/17, RT @jjjinvesting: Apple Begins A New Chapter In India https://t.co/l5MQtBjBV8 $GOOG $QCOM $GOOGL $AAPL,0
,,,
|positive|,5/19/17, RT @CharlesNance415: The #largest companies on #earth #inspire us - https://t.co/Yycairc0fy $wmt $xom $cvx $brk-a $aapl $mo $tna $cat #Fridâ€_,2
,,,
|neutral|,5/19/17, Apple Begins A New Chapter In India https://t.co/l5MQtBjBV8 $GOOG $QCOM $GOOGL $AAPL,0
,,,
|positive|,5/19/17, The #largest companies on #earth #inspire us - https://t.co/Yycairc0fy $wmt $xom $cvx $brk-a $aapl $mo $tna $cat #FridayFeeling,2
,,,
|positive|,5/19/17, RT @TheStreet: Apps are a fast-growing business for both of the Silicon Valley icons https://t.co/AzAiaSAQw0 $AAPL $GOOGL,1
,,,
|neutral|,5/19/17, RT @doogooroo: Oh oh $AAPL https://t.co/azJgK85Mfx,0
,,,
|positive|,5/19/17, RT @racernic: keep tab on mkts frm all angles. like yest $AAPL behavior was tell 2appetite+lvls.join us. $ES_F $SPX $SPy $QQQ https://t.co/â€_,3
,,,
|positive|,5/19/17," Join @RobinhoodApp and we'll both get a share of stock like $AAPL, $F, or $S for free. Make sure to use my link.  https://t.co/mCOkx7JYLM",5
,,,
|neutral|,5/19/17, Buffett Doubles Apple https://t.co/Comq2Nf1Et $BRK.A $BRK.B $AAPL,0
,,,
|positive|,5/19/17, The #largest companies on #earth #inspire us - https://t.co/vT9HmoiNbp $wmt $xom $cvx $brk-a $aapl $mo $tna $cat #FridayFeeling,2
,,,
|neutral|,5/19/17, 10 Industries That Could Be Impacted by Driverless Cars $AAPL $ALL $ALLY https://t.co/EvlzIQ6E8I via @benzinga,0
,,,
|negative|,5/19/17, RT @racernic: per OI $AAPL has downside pressure into next wk. caution is warranted. (short term trading purpose),-3
,,,
|positive|,5/19/17, Apps are a fast-growing business for both of the Silicon Valley icons https://t.co/AzAiaSAQw0 $AAPL $GOOGL,1
,,,
|positive|,5/19/17, The #largest companies on #earth #inspire us - https://t.co/SOm8rjvuBZ $wmt $xom $cvx $brk-a $aapl $mo $tna $cat #FridayFeeling,2
,,,
|negative|,5/19/17," $AAPL Apple Pay is expanding, but it still has a long way to go https://t.co/1jUy4ls0U6",-1
,,,
|positive|,5/19/17, Got rid@of everything except for $AAPL $TSLA $S. selling off yes but it's small potatoes https://t.co/dYdf5vpnlF,1
,,,
|positive|,5/19/17, Apple Has A New Idea https://t.co/dFmkmNC7F5 $AAPL - new #investing book = 136% profits last 41 months safely - https://t.co/lvue1IBy6o,1
,,,
|positive|,5/19/17, @LennartBedrage $AAPL App Store growth could be a catalyst for future earnings growth.,4
,,,
|neutral|,5/19/17, RT @racernic: $aapl took it on the chin (intraday comment and vs. the high).,0
,,,
|negative|,5/19/17, RT @racernic: per OI $AAPL has downside pressure into next wk. caution is warranted. (short term trading purpose),-3
,,,
|neutral|,5/19/17, Oh oh $AAPL https://t.co/azJgK85Mfx,0
,,,
|positive|,5/19/17," @SJosephBurns Alright, then tell me why you like $AAPL _Ÿ˜€",2
,,,
|positive|,5/19/17, RT @Investing_Books: Hedge Fund Market Wizards: How Winning Traders Win by Jack D. Schwager: https://t.co/n9IElG6tRm $SPY $AAPL $AMZN,8
,,,
|neutral|,5/19/17," It's all BS game, no difference in output or demand yet price goes up and down 15-20% just like $aapl :) https://t.co/47rAq5x4tz",0
,,,
|positive|,5/19/17, Hedge Fund Market Wizards: How Winning Traders Win by Jack D. Schwager: https://t.co/n9IElG6tRm $SPY $AAPL $AMZN,8
,,,
|positive|,5/19/17," RT @Options: Most Active Stock Options For End Of Day May 19, 2017 â€“ $BAC, $P, $AAPL, $S, $BABA https://t.co/UoVPJAv3Aw",1
,,,
|neutral|,5/19/17, #Instant #Apple Unlocking $0.99 Cent All #iPhone FOR 3GS 4 4S 5 5C 5S 6 6+ #unlockfusion #icloud #freeunlock #factoryunlock $AAPL #unlock,0
,,,
|negative|,5/19/17, RT @Investing_Books: Panic: The Story of Modern Financial Insanity by Michael Lewis: https://t.co/6ISkPdX7hs $SPY $IWM $RUT $VIX $AAPL,-5
,,,
|neutral|,5/19/17, #Instant #Apple Unlocking $0.99 Cent All #iPhone FOR 3GS 4 4S 5 5C 5S 6 6+ #unlockfusion #icloud #freeunlock #factoryunlock $AAPL #unlock,0
,,,
|positive|,5/19/17, #Use #great #idea #hashtags for #SEO #SearchEngineOptimization https://t.co/Yycairc0fy $aapl $mck $googl $hpq $hpe #FridayFeeling,3
,,,
|positive|,5/19/17, RT @ChrisLacoursier: @MadMoneyOnCNBC @jimcramer JC biggest stock tip since $AMZN $AAPL and $GOOG were 1 dollar per share $NWBO is about toâ€_,1
,,,
|positive|,5/19/17, #Use #great #idea #hashtags for #SEO #SearchEngineOptimization https://t.co/vT9HmoiNbp $aapl $mck $googl $hpq $hpe #FridayFeeling,3
,,,
|neutral|,5/19/17, RT @tasciccac: $DJIA WKLY Best performing $WMT $JNJ $MCD $CAT $IBM $KO $CVX $UNH $MRK Worst $CSCO $NKE $GS $JPM $DIS $AAPL $DD $PFE  #Ichimâ€_,0
,,,
|positive|,5/19/17, RT @MacHashNews: 'Finger Spinner' Tops the Free App Charts as the Fidget Spinner Craze Goes Digital https://t.co/weS3q0D9TG #TouchArcade $Aâ€_,3
,,,
|negative|,5/19/17, Panic: The Story of Modern Financial Insanity by Michael Lewis: https://t.co/6ISkPdX7hs $SPY $IWM $RUT $VIX $AAPL,-5
,,,
|neutral|,5/19/17," RT @DFMtrades: $AAPL, target $160, SL $149.50 $SPY $DIA $IWM https://t.co/yHdTDQNvHU",0
,,,
|negative|,5/19/17, RT @racernic: per OI $AAPL has downside pressure into next wk. caution is warranted. (short term trading purpose),-3
,,,
|negative|,5/19/17, RT @racernic: per OI $AAPL has downside pressure into next wk. caution is warranted. (short term trading purpose),-3
,,,
|neutral|,5/19/17, RT @PoliticalHedge: Apple to Starting $1Billion Fund Investing American Manufacturing Jobs $AAPL https://t.co/hIXNOtqkoE From: 05/06/2017,0
,,,
|positive|,5/19/17, #Use #great #idea #hashtags for #SEO #SearchEngineOptimization https://t.co/SOm8rjvuBZ $aapl $mck $googl $hpq $hpe #FridayFeeling,3
,,,
|neutral|,5/19/17, $DJIA WKLY Best performing $WMT $JNJ $MCD $CAT $IBM $KO $CVX $UNH $MRK Worst $CSCO $NKE $GS $JPM $DIS $AAPL $DDâ€_ https://t.co/Yq1SJ7WCuX,0
,,,
|positive|,5/19/17," Current state of Big Tech &amp; the opportunities $AAPL, $AMZN, $QQQ Stock Trading Investing: https://t.co/9Ban9LX74Y https://t.co/JeYZfHkBF7",3
,,,
|positive|,5/19/17, RT @zacharyparadis: This chart is amazing for several reasonsâ€“one is that $AAPL is now just $1B behind $MSFT in profit over the last 20 yeaâ€_,4
,,,
|positive|,5/19/17, 'Finger Spinner' Tops the Free App Charts as the Fidget Spinner Craze Goes Digital https://t.co/weS3q0D9TGâ€_ https://t.co/pKXnuScCYp,3
,,,
|neutral|,5/19/17, RT @TraderTargets: $AAPL Projection vs TodayActual. Stats on site. 100% fees to charity https://t.co/iOsze0egDx,0
,,,
|neutral|,5/19/17, RT @racernic: $aapl took it on the chin (intraday comment and vs. the high).,0
,,,
|neutral|,5/19/17, $AAPL Projection vs TodayActual. Stats on site. 100% fees to charity https://t.co/iOsze0egDx,0
,,,
|neutral|,5/19/17, RT @racernic: $aapl took it on the chin (intraday comment and vs. the high).,0
,,,
|neutral|,5/19/17, RT @RatingsNetwork: Apple's buy rating reiterated at Royal Bank of Canada. $157.00 PT. https://t.co/FkTGrLKjjd $AAPL #AAPL,0
,,,
|neutral|,5/19/17, RT @Ascend_Trading: Look what was #1 on #GapScan this AM.... We were ready $GLYC  @TradeIdeas1 $FB $TWTR $QQQ $SPY $AAPL https://t.co/yPgB8â€_,0
,,,
|positive|,5/19/17, RT @ChrisLacoursier: @MadMoneyOnCNBC @jimcramer JC biggest stock tip since $AMZN $AAPL and $GOOG were 1 dollar per share $NWBO is about toâ€_,1
,,,
|negative|,5/19/17, RT @racernic: per OI $AAPL has downside pressure into next wk. caution is warranted. (short term trading purpose),-3
,,,
|positive|,5/19/17, https://t.co/mAqge0snxU &lt;-- timothy sykes guide to the best #pennystock brokers! Must see free video! $CASY $AKRX $AAPL $OCUL $RGA,4
,,,
